,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Idrinskoye,RU,54.3708,92.1358,-14.37,94,39,0.49,scattered clouds
141,Sumbe,AO,-11.2061,13.8437,74.71,80,100,3.09,overcast clouds
142,Bira,RU,49.0,132.4667,14.47,81,100,2.3,overcast clouds
143,Urumqi,CN,43.801,87.6005,14.95,79,75,2.24,smoke
144,Saint-Philippe,RE,-21.3585,55.7679,78.39,73,41,4.16,scattered clouds
145,Severnyy,RU,50.677,36.5532,32.04,80,75,11.18,light snow
146,Grand Gaube,MU,-20.0064,57.6608,81.37,67,84,1.99,broken clouds
147,Arlit,NE,18.7369,7.3853,62.76,10,0,7.56,clear sky
148,Hanyang,CN,32.1371,105.5126,43.0,56,95,3.02,overcast clouds
149,Moose Factory,CA,51.2585,-80.6094,26.6,93,100,5.75,overcast clouds
150,Srednekolymsk,RU,67.45,153.6833,-31.22,96,51,6.13,broken clouds
151,Amazar,RU,53.858,120.875,7.92,72,100,2.86,overcast clouds
152,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.08,70,88,9.46,overcast clouds
153,Muros,ES,42.7762,-9.0603,54.23,94,30,3.58,scattered clouds
154,Srivardhan,IN,18.0333,73.0167,74.88,46,36,5.26,scattered clouds
155,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,54,0,25.32,clear sky
156,Shenzhen,CN,22.5455,114.0683,69.08,86,83,3.11,broken clouds
157,Honningsvag,NO,70.9821,25.9704,27.82,76,93,21.56,overcast clouds
158,Krutinka,RU,56.0055,71.5113,-12.26,99,18,7.09,few clouds
159,Klaksvik,FO,62.2266,-6.589,31.12,63,100,23.15,overcast clouds
160,Ballina,AU,-28.8667,153.5667,86.18,56,0,9.22,clear sky
161,Swidnik,PL,51.219,22.6962,42.69,94,100,12.66,overcast clouds
162,Lavrentiya,RU,65.5833,-171.0,-26.28,94,41,8.3,scattered clouds
163,Nishihara,JP,26.1842,127.7558,65.86,72,75,19.57,broken clouds
164,Itarema,BR,-2.9248,-39.9167,77.13,79,13,7.78,few clouds
165,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,19,0,21.85,clear sky
166,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.52,96,100,9.57,moderate rain
167,Naze,JP,28.3667,129.4833,59.92,71,82,17.05,broken clouds
168,Kieta,PG,-6.2167,155.6333,83.52,79,63,8.52,moderate rain
169,Ponta Do Sol,PT,32.6667,-17.1,70.12,16,100,3.06,overcast clouds
170,Leningradskiy,RU,69.3833,178.4167,-30.41,97,79,6.15,broken clouds
171,Manzhouli,CN,49.6,117.4333,6.19,82,100,5.57,overcast clouds
172,Fort-Shevchenko,KZ,44.5086,50.263,39.96,77,100,6.49,overcast clouds
173,Nome,US,64.5011,-165.4064,-18.89,77,100,5.12,overcast clouds
174,Shenkursk,RU,62.1091,42.896,23.65,94,100,8.1,overcast clouds
175,Palmer,US,42.1584,-72.3287,34.93,77,63,5.06,broken clouds
176,Talnakh,RU,69.4865,88.3972,-7.8,98,100,10.51,overcast clouds
177,Lucapa,AO,-8.4192,20.7447,63.43,84,95,1.88,overcast clouds
178,Bredasdorp,ZA,-34.5322,20.0403,62.28,81,100,5.77,overcast clouds
179,Dunda,TZ,-8.1167,34.25,64.29,97,100,1.43,light rain
180,Mabaruma,GY,8.2,-59.7833,71.01,87,81,2.04,broken clouds
181,Broken Hill,AU,-31.95,141.4333,85.03,30,10,15.73,clear sky
182,Shingu,JP,33.7333,135.9833,46.9,91,100,5.55,light rain
183,Kavaratti,IN,10.5669,72.642,80.19,71,100,14.67,overcast clouds
184,Tautira,PF,-17.7333,-149.15,84.22,75,37,14.18,scattered clouds
185,Trairi,BR,-3.2778,-39.2689,76.33,81,27,4.92,scattered clouds
186,Luderitz,NA,-26.6481,15.1594,73.65,51,81,16.87,broken clouds
187,Xining,CN,36.6167,101.7667,21.0,74,98,2.01,overcast clouds
188,El Reno,US,35.5323,-97.955,52.75,39,0,4.61,clear sky
189,Huron,US,41.1501,-82.5499,38.1,84,100,11.88,overcast clouds
190,Balkanabat,TM,39.5108,54.3671,51.42,36,6,3.94,clear sky
191,Dingle,PH,10.9995,122.6711,84.47,61,26,16.33,scattered clouds
