City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
191,Rengo,0,CL,2022-02-08 01:14:26,42,-34.4167,-70.8667,70.63,2.13
192,Kohima,1,IN,2022-02-08 01:14:26,85,25.6667,94.1167,41.25,2.15
193,Anuchino,5,RU,2022-02-08 01:14:26,74,43.9622,133.0544,15.71,1.63
194,Tromso,40,NO,2022-02-08 01:14:27,86,69.6496,18.957,28.42,8.05
195,Avarua,100,CK,2022-02-08 01:14:27,76,-21.2078,-159.775,79.5,15.64
196,Tuatapere,0,NZ,2022-02-08 01:14:28,45,-46.1333,167.6833,61.83,6.42
197,Grand Gaube,100,MU,2022-02-08 01:14:28,85,-20.0064,57.6608,75.6,5.01
198,Rawson,0,AR,2022-02-08 01:14:28,23,-43.3002,-65.1023,82.8,27.78
199,Touros,3,BR,2022-02-08 01:10:58,70,-5.1989,-35.4608,81.5,11.59
200,Kaeo,100,NZ,2022-02-08 01:14:29,98,-35.1,173.7833,76.32,5.37
201,Richards Bay,13,ZA,2022-02-08 01:14:29,89,-28.783,32.0377,69.75,4.7
202,Musafirkhana,0,IN,2022-02-08 01:14:30,73,26.3667,81.8,50.76,4.18
203,Airai,68,TL,2022-02-08 01:14:30,70,-8.9266,125.4092,71.19,1.61
204,Nsanje,5,MW,2022-02-08 01:14:30,92,-16.92,35.262,70.79,1.7
205,Samarai,37,PG,2022-02-08 01:14:31,73,-10.6167,150.6667,83.16,4.25
206,Bluff,28,NZ,2022-02-08 01:14:31,74,-46.6,168.3333,61.81,13.82
207,Balyaga,100,RU,2022-02-08 01:14:31,95,51.1507,108.921,10.33,2.35
208,Tortoli,3,IT,2022-02-08 01:14:32,58,39.9256,9.6572,51.98,8.84
209,Pevek,27,RU,2022-02-08 01:14:32,97,69.7008,170.3133,-27.78,3.11
210,Leh,96,IN,2022-02-08 01:13:10,93,34.1667,77.5833,-4.31,3.29
211,Dicabisagan,98,PH,2022-02-08 01:14:32,85,17.0818,122.4157,76.23,5.75
212,Abha,0,SA,2022-02-08 01:14:29,76,18.2164,42.5053,46.65,0.0
213,San Policarpo,88,PH,2022-02-08 01:14:33,84,12.1791,125.5072,79.92,16.89
214,Vestmannaeyjar,100,IS,2022-02-08 01:14:33,72,63.4427,-20.2734,31.37,46.57
215,Yichun,100,CN,2022-02-08 01:14:34,90,47.7,128.9,4.3,1.48
216,Itabaianinha,4,BR,2022-02-08 01:14:34,89,-11.2739,-37.79,73.26,7.76
217,Gamba,100,GA,2022-02-08 01:14:35,90,-2.65,10.0,77.22,7.27
218,Roebourne,60,AU,2022-02-08 01:14:35,69,-20.7833,117.1333,85.1,11.32
219,Nelson Bay,39,AU,2022-02-08 01:14:35,80,-32.7167,152.15,75.29,1.99
